"mw","district","county","seats","pool","voters","valid","valid.p","invalid","invalid.p"
"第一選舉區","東區東門里等35里","新竹市","11","106201","65893","64378","97.70","1515","2.30"
"第二選舉區","東區南門里等17里","新竹市","4","41620","25780","25286","98.08","494","1.92"
"第三選舉區","北區客雅里等14里","新竹市","2","26341","16618","15976","96.14","642","3.86"
"第四選舉區","北區北門里等30里","新竹市","9","86880","55250","54087","97.90","1163","2.10"
"第五選舉區","香山區","新竹市","6","58895","38078","37217","97.74","861","2.26"
"第六選舉區","平地原住民","新竹市","1","1099","598","586","97.99","12","2.01"
"第一選舉區","東區","嘉義市","11","95157","65767","64403","97.93","1364","2.07"
"第二選舉區","西區","嘉義市","13","112568","81719","80165","98.10","1554","1.90"
"第一選舉區","金城鎮、金寧鄉、烏坵鄉","金門縣","10","55180","25323","24743","97.71","580","2.29"
"第二選舉區","金湖鎮、金沙鎮","金門縣","7","38232","16888","16308","96.57","580","3.43"
"第三選舉區","烈嶼鄉","金門縣","2","9964","4515","4392","97.28","123","2.72"
"第一選舉區","南竿鄉","連江縣","5","5949","3799","3747","98.63","52","1.37"
"第二選舉區","北竿鄉","連江縣","2","1879","1333","1310","98.27","23","1.73"
"第三選舉區","莒光鄉","連江縣","1","1211","783","774","98.85","9","1.15"
"第四選舉區","東引鄉","連江縣","1","996","813","809","99.51","4","0.49"
